№,Наименование спортивного сооружения,Район Санкт-Петербурга,Адрес объекта,Наименование эксплуатирующей организации,Площадь (кв.м)
932,Спортивная площадка,Красногвардейский,"Новочеркасский пр., дом 50, корп. 3, лит. А",ГБОУ СОШ № 490 ,2650
933,Спортивная площадка,Красногвардейский,"Шепетовская ул., дом 5, лит. А",ГБОУ СОШ № 515 им. И.В. Гёте (Гётешуле),2332
934,Спортивная площадка,Красногвардейский,"пр. Маршала Блюхера, дом 44, корп. 2, лит. А",ГБОУ СОШ № 521,3086
935,Спортивная площадка,Красногвардейский,"ул. Осипенко, дом 8, лит. А",ГБОУ СОШ № 531,1319
936,Спортивная площадка,Красногвардейский,"Большая Пороховская ул., дом 38, лит. А",ГБОУ СОШ № 532,3680
937,Волейбольная площадка,Красногвардейский,"Большая Пороховская ул., дом 38, лит. А",ГБОУ СОШ № 532,325
938,Спортивная площадка,Красногвардейский,"Новочеркасский пр., дом 31, лит. А","ГБОУ лицей № 533 ""Образовательный комплекс Малая Охта""",943
939,Спортивная площадка,Красногвардейский,"Перевозный пер., дом 19, лит. А","ГБОУ лицей № 533 ""Образовательный комплекс Малая Охта""",2925
940,Спортивная площадка,Красногвардейский,"Таллинская ул., дом 26, корп. 2, лит. А","ГБОУ лицей № 533 ""Образовательный комплекс Малая Охта""",1755
941,Спортивная площадка,Красногвардейский,"Ириновский пр., дом 17, корп. 5, лит. А",ГБОУ СОШ № 562 ,1830
942,Футбольная площадка,Красногвардейский,"Хасанская ул., дом 4, корп. 2, лит. А",ГАОУ СОШ № 577,864
943,Спортивная площадка,Красногвардейский,"Хасанская ул., дом 4, корп. 2, лит. А",ГАОУ СОШ № 577,288
944,Баскетбольная площадка,Красногвардейский,"Хасанская ул., дом 4, корп. 2, лит. А",ГАОУ СОШ № 577,160
945,Спортивная площадка,Красногвардейский,"ул. Коммуны, дом 42, корп. 3, лит. А","ГБОУ гимназия № 628 ""Александринская гимназия""",2958
946,Спортивная площадка,Красногвардейский,"пр. Маршала Блюхера, дом 57, корп. 3, лит. А",ГБОУ гимназия-интернат № 664,400
947,Спортивная площадка,Красногвардейский,"пр. Ударников, дом 17, корп. 2, лит. А",ГБОУ гимназия-интернат № 664,2880
948,Спортивная площадка,Красногвардейский,"ул. Громова, уч. 4, (у дома 12, лит. А)","ГБУ ""Подростково-молодёжный центр ""Охта""",821
949,Спортивная площадка,Красногвардейский,"ул. Громова, уч. 3, (у дома 12, лит. А)","ГБУ ""Подростково-молодёжный центр ""Охта""",307
950,Спортивная площадка,Красногвардейский,"Малоохтинский пр., уч. 9 (у дома 86а, корп. 1, лит. А)","ГБУ ""Подростково-молодёжный центр ""Охта""",1290
951,Хоккейная площадка,Красногвардейский,"ул. Маршала Тухачевского, уч. 26 (у дома 41, лит. А)","ГБУ ""Подростково-молодёжный центр ""Охта""",762
952,Площадка для паркура,Красногвардейский,"пр. Шаумяна, уч. 24 (у дома 69)","ГБУ ""Подростково-молодёжный центр ""Охта""",777
953,Спортивная площадка,Красногвардейский,"Большеохтинский пр., дом 11, корп. 2, лит. А","ГБОУ ДОД Детско-юношеский центр ""Красногвардеец""",1200
954,Спортивная площадка,Красногвардейский,"Хасанская ул., дом 18, корп. 3, лит. А","ГБОУ центр лечебной педагогики и дифференцированного обучения Красногвардейского района ""Школа здоровья и индивидуального развития""",2332
955,Спортивная площадка,Красногвардейский,"Заневский пр., дом 27, лит. А","ГБУ ""Центр социальной реабилитации инвалидов и детей-инвалидов Красногвардейского района",162
956,Спортивная площадка,Красногвардейский,"пр. Энтузиастов, дом 53, корп. 2, лит. А","ГБУ ""Центр социальной реабилитации инвалидов и детей-инвалидов Красногвардейского района",162
957,Спортивная площадка,Красногвардейский,"пр. Энергетиков, дом 4, корп. 2, лит. А","ГБПОУ ""Художественно-профессиональный лицей СПб им. Карла Фаберже""",2576
958,Спортивная площадка,Красногвардейский,"Новочеркасский пр., дом 12, корп. 2, лит. А","ГБПОУ ""Малоохтинский колледж""",900
959,Спортивная площадка,Красногвардейский,"Большая Пороховская ул., дом 37, лит. А","ГБОУ СПО ""Автотранспортный и электромеханический колледж""",1590
960,Спортивная площадка,Красногвардейский,"1-я Жерновская ул., дом 8, лит. А",ГБОУ центр образования № 1,1916
961,Спортивная площадка,Красногвардейский,"пр. Маршала Блюхера, дом 51, корп. 2, лит. А",ГБОУ С(К) детский дом № 2,519
962,"Стадион ""Турбостроитель"" (на реконструкции)",Красногвардейский,"пр. Металлистов, уч. 1 (северо-западнее дома 14, лит. А по Шепетовской ул.)",Санкт-Петербург,0.0
963,Площадка экстремальных видов спорта,Красногвардейский,"Гранитная ул., южнее дома 4, лит. А","ГБОУ ДОД ""Центр Физкультура и Здоровье"" (оборудование)",375
964,Площадка экстремальных видов спорта,Красногвардейский,"парк Малиновка между пр.Энтузиастов, ул.Передовиков, пр.Косыгина и Индустриальным пр. (юго-западнее дома дом 24, лит. А по Индустриальному пр.) ","ГБОУ ДОД ""Центр Физкультура и Здоровье"" (оборудование)",386
965,Спортивная площадка (игровая),Красногвардейский,"пр. Металлистов, уч. 35 (внутриквартальный сквер на Крюковой ул., дом 10",МО Полюстрово,287
966,Спортивная площадка,Красногвардейский,"Индустриальный пр., уч. 1 (внутриквартальный сквер у дома 27 по Индустриальному пр.)",МО Пороховые,775
967,Спортивная площадка,Красногвардейский,"пр. Ударников, уч. 1 (внутриквартальный сквер у дома15, корп. 1 по пр. Ударников)",МО Пороховые,1200
968,Спортивная площадка,Красногвардейский,"ул. Коммуны, западнее дома 26, корп. 1, лит. А",МО Ржевка,180
969,Спортивная площадка,Красногвардейский,"Малая Охта, Казанская ул., дом 3, лит. А","ФГБОУ ВПО ""Национальный минерально-сырьевой университет ""Горный""",3519
970,"Стадион ""Химик""",Красногвардейский,"Рябовское шоссе, дом 9, лит. А","ОАО ""Пластполимер""",10500
971,Хоккейная площадка,Красногвардейский,"Рябовское шоссе, дом 9, лит. А","ОАО ""Пластполимер""",1800
972,Городошная площадка,Красногвардейский,"Рябовское шоссе, дом 9, лит. А","ОАО ""Пластполимер""",440
973,"Стадион ""Арсенал""",Красногвардейский,"пр. Металлистов, дом 51, лит. Д",ИП Гинзбург И.И.,7350
974,Крытая футбольная площадка,Красногвардейский,"пр. Металлистов, дом 51, лит. А",ИП Гинзбург И.И.,1370
975,Крытая теннисная площадка,Красногвардейский,"пр. Металлистов, дом 51, лит. А",ИП Гинзбург И.И.,1296
976,Крытая теннисная площадка,Красногвардейский,"пр. Металлистов, дом 51, лит. А",ИП Гинзбург И.И.,1296
977,Теннисный корт,Красногвардейский,"пр. Металлистов, дом 51, лит. А",ИП Гинзбург И.И.,720
978,Теннисный корт,Красногвардейский,"пр. Металлистов, дом 51, лит. А",ИП Гинзбург И.И.,722
979,Теннисная площадка,Красногвардейский,"пр. Металлистов, дом 51, лит. А",ИП Гинзбург И.И.,1560
980,Крытая теннисная площадка,Красногвардейский,"Хасанская ул., дом 19, лит. Б",ИП Гинзбург И.И.,1944
981,Крытая теннисная площадка,Красногвардейский,"Хасанская ул., дом 19, лит. В",ИП Гинзбург И.И.,1836
982,Крытая теннисная площадка,Красногвардейский,"Хасанская ул., дом 19, лит. Д",ИП Гинзбург И.И.,1836
983,Крытая теннисная площадка,Красногвардейский,"Хасанская ул, уч. 1 (южнее персечения с Белорусской ул.)",ИП Гинзбург И.И.,2160
984,Теннисный корт,Красногвардейский,"Хасанская ул, уч. 1 (южнее персечения с Белорусской ул.)",ИП Гинзбург И.И.,800
985,Теннисный корт,Красногвардейский,"Хасанская ул, уч. 1 (южнее персечения с Белорусской ул.)",ИП Гинзбург И.И.,648
986,Теннисный корт,Красногвардейский,"Хасанская ул, уч. 1 (южнее персечения с Белорусской ул.)",ИП Гинзбург И.И.,722
987,Крытая теннисная площадка,Красногвардейский,"ул. Маршала Тухачевского, дом 14, лит. В","ООО ""Агентство ""Абсолют""",2592
988,Спортивная площадка,Красногвардейский,"ул. Маршала Тухачевского, уч. 1 (западнее пересечения с ул. Буренина)","ООО ""Агентство ""Абсолют""",990
989,Волейбольная площадка,Красногвардейский,"ул. Маршала Тухачевского, уч. 1 (западнее пересечения с ул. Буренина)","ООО ""Агентство ""Абсолют""",180
990,Теннисные корты,Красногвардейский,"Малоохтинский парк между Малоохтинским пр., Республиканской ул., пр. Шаумяна и Перевозным пер.; Перевозный пер., дом 23/25, напротив (парк)",ПБОЮЛ ИП Астахов А.А.,1200
991,Крытая теннисная площадка,Красногвардейский,"пр. Энтузиастов, уч. 22 (напротив дома 22, корп. 1)","ООО ""Спортивный клуб ""Ладога"" (ООО ""Альянс"")",2484
992,футбольное поле,Красносельский,"ул. Тамбасова, д. 30, корп. 2",ГБОУ ДОД ДЮСШ Красносельского района,7906
993,футбольное поле,Красносельский,"Красное Село, ул. Гвардейская, д. 25, к.2 ",ГБОУ ДОД ДЮСШ Красносельского района,6480
994,хоккейная площадка,Красносельский,"Красносельское шоссе, д. 34","ГБУ ""Центр физической культуры, спорта и здоровья Красносельского района СПб""",4056
995,внутридворовая площадка,Красносельский,Ленинский пр. д. 81,"ГБУ ""Центр физической культуры, спорта и здоровья Красносельского района СПб""",749
996,хоккейная площадка,Красносельский,"Ленинский пр., д. 100, корп. 2","ГБУ ""Центр физической культуры, спорта и здоровья Красносельского района СПб""",677
997,внутридворовая площадка,Красносельский,"Ленинский пр., д. 75, корп. 2","ГБУ ""Центр физической культуры, спорта и здоровья Красносельского района СПб""",813
998,внутридворовая площадка,Красносельский,"Ленинский пр., д. 92, корп. 3","ГБУ ""Центр физической культуры, спорта и здоровья Красносельского района СПб""",669
999,внутридворовая площадка,Красносельский,"Петергофское шоссе, д. 21, корп. 1","ГБУ ""Центр физической культуры, спорта и здоровья Красносельского района СПб""",516
1000,внутридворовая площадка,Красносельский,"Петергофское шоссе, д. 7, корп. 1","ГБУ ""Центр физической культуры, спорта и здоровья Красносельского района СПб""",764
1001,внутридворовая площадка,Красносельский,"пр. Ветеранов, д. 129 (уч 87)","ГБУ ""Центр физической культуры, спорта и здоровья Красносельского района СПб""",590
1002,внутридворовая площадка,Красносельский,"пр. Ветеранов, д. 129 (уч. 86)","ГБУ ""Центр физической культуры, спорта и здоровья Красносельского района СПб""",490
1003,внутридворовая площадка,Красносельский,"пр. Ветеранов, д. 143, корп. 1","ГБУ ""Центр физической культуры, спорта и здоровья Красносельского района СПб""",678
1004,внутридворовая площадка,Красносельский,"пр. Ветеранов, д. 151, корп. 1","ГБУ ""Центр физической культуры, спорта и здоровья Красносельского района СПб""",1127
1005,внутридворовая площадка,Красносельский,"пр. Ветеранов, д. 160","ГБУ ""Центр физической культуры, спорта и здоровья Красносельского района СПб""",410
1006,хоккейная площадка,Красносельский,"пр. Кузнецова, д. 26","ГБУ ""Центр физической культуры, спорта и здоровья Красносельского района СПб""",800
1007,внутридворовая площадка,Красносельский,"пр. Ленина, д. 120","ГБУ ""Центр физической культуры, спорта и здоровья Красносельского района СПб""",2518
1008,внутридворовая площадка,Красносельский,"Стрельнинское шоссе, д. 4, корп. 2","ГБУ ""Центр физической культуры, спорта и здоровья Красносельского района СПб""",806
1009,внутридворовая площадка,Красносельский,"ул. Авангардная, д. 23","ГБУ ""Центр физической культуры, спорта и здоровья Красносельского района СПб""",581
1010,внутридворовая площадка,Красносельский,"ул. Авиационная, уч. 3 (напротив д. 9)","ГБУ ""Центр физической культуры, спорта и здоровья Красносельского района СПб""",480
1011,внутридворовая площадка,Красносельский,"ул. Гвардейская, д. 3","ГБУ ""Центр физической культуры, спорта и здоровья Красносельского района СПб""",450
1012,внутридворовая площадка,Красносельский,"ул. Геологическая, д. 75","ГБУ ""Центр физической культуры, спорта и здоровья Красносельского района СПб""",540
1013,внутридворовая площадка,Красносельский,"ул. Десантников, д. 28","ГБУ ""Центр физической культуры, спорта и здоровья Красносельского района СПб""",822
1014,внутридворовая площадка,Красносельский,"ул. Доблести, д. 26, корп.2","ГБУ ""Центр физической культуры, спорта и здоровья Красносельского района СПб""",598
1015,внутридворовая площадка,Красносельский,"ул. Добровольцев, д. 50","ГБУ ""Центр физической культуры, спорта и здоровья Красносельского района СПб""",844
1016,внутридворовая площадка,Красносельский,"ул. Добровольцев, д. 62","ГБУ ""Центр физической культуры, спорта и здоровья Красносельского района СПб""",975
1017,внутридворовая площадка,Красносельский,"ул. Котина, д. 8,  корп. 1","ГБУ ""Центр физической культуры, спорта и здоровья Красносельского района СПб""",741
1018,внутридворовая площадка,Красносельский,"ул. Лермонтова, д. 12, к. 3","ГБУ ""Центр физической культуры, спорта и здоровья Красносельского района СПб""",783
1019,внутридворовая площадка,Красносельский,"ул. Маршала Захарова, д. 27, корп. 1","ГБУ ""Центр физической культуры, спорта и здоровья Красносельского района СПб""",824
1020,внутридворовая площадка,Красносельский,"ул. Маршала Захарова, д. 33, корп. 1","ГБУ ""Центр физической культуры, спорта и здоровья Красносельского района СПб""",584
1021,внутридворовая площадка,Красносельский,"ул. Маршала Захарова, д. 35, корп. 1","ГБУ ""Центр физической культуры, спорта и здоровья Красносельского района СПб""",247
1022,площадка уличных тренажеров,Красносельский,"ул. Маршала Захарова, д. 35,корп. 2","ГБУ ""Центр физической культуры, спорта и здоровья Красносельского района СПб""",480
1023,площадка уличных тренажеров,Красносельский,"ул. Маршала Казакова, д. 24, корп. 2","ГБУ ""Центр физической культуры, спорта и здоровья Красносельского района СПб""",151
1024,внутридворовая площадка,Красносельский,"ул. Маршала Казакова, д. 28, корп. 1","ГБУ ""Центр физической культуры, спорта и здоровья Красносельского района СПб""",1035
1025,внутридворовая площадка,Красносельский,"ул. Массальского, д. 11","ГБУ ""Центр физической культуры, спорта и здоровья Красносельского района СПб""",1684
1026,площадка уличных тренажеров,Красносельский,"ул. Отважных, д. 4","ГБУ ""Центр физической культуры, спорта и здоровья Красносельского района СПб""",500
1027,внутридворовая площадка,Красносельский,"ул. Партизана Германа, д. 11","ГБУ ""Центр физической культуры, спорта и здоровья Красносельского района СПб""",1368
1028,хоккейная площадка,Красносельский,"ул. Партизана Германа, д. 21","ГБУ ""Центр физической культуры, спорта и здоровья Красносельского района СПб""",440
1029,хоккейная площадка,Красносельский,"ул. Партизана Германа, д. 28","ГБУ ""Центр физической культуры, спорта и здоровья Красносельского района СПб""",436
1030,внутридворовая площадка,Красносельский,"ул. Партизана Германа, д. 41","ГБУ ""Центр физической культуры, спорта и здоровья Красносельского района СПб""",824
1031,хоккейная площадка,Красносельский,"ул. Партизана Германа, д. 8, корп. 2","ГБУ ""Центр физической культуры, спорта и здоровья Красносельского района СПб""",436
1032,площадка уличных тренажеров,Красносельский,"ул. Пионерстроя, д. 15, корп. 3","ГБУ ""Центр физической культуры, спорта и здоровья Красносельского района СПб""",514
1033,внутридворовая площадка,Красносельский,"ул. Пионерстроя, д. 15, корп.3","ГБУ ""Центр физической культуры, спорта и здоровья Красносельского района СПб""",497
1034,площадка уличных тренажеров,Красносельский,"ул. Пограничника Гарькавого, д. 46, корп. 2","ГБУ ""Центр физической культуры, спорта и здоровья Красносельского района СПб""",410
1035,внутридворовая площадка,Красносельский,"ул. Поселковая, уч. 2 (напротив д. 47) ","ГБУ ""Центр физической культуры, спорта и здоровья Красносельского района СПб""",3700
1036,внутридворовая площадка,Красносельский,"ул. Спирина, д. 16, корп. 1","ГБУ ""Центр физической культуры, спорта и здоровья Красносельского района СПб""",714
1037,внутридворовая площадка,Красносельский,"ул. Спирина, д. 18","ГБУ ""Центр физической культуры, спорта и здоровья Красносельского района СПб""",669
1038,внутридворовая площадка,Красносельский,"ул. Тамбасова, д. 24, корп.1","ГБУ ""Центр физической культуры, спорта и здоровья Красносельского района СПб""",1039
1039,хоккейная площадка,Красносельский,"ул. Чекистов, д. 38","ГБУ ""Центр физической культуры, спорта и здоровья Красносельского района СПб""",692
1040,внутридворовая площадка,Красносельский,"Южно-Приморский парк, ул. Доблести (уч. 43)","ГБУ ""Центр физической культуры, спорта и здоровья Красносельского района СПб""",1213
1041,школьный стадион,Красносельский,"ул. Тамбасова, д. 29, к. 1",ГБС(К)ОУ С(К)ОШ № 7,3920
1042,спортивная площадка,Красносельский,"ул. Захарова д. 16 кор.5,",ГС(К)ОУ № 131,728
1043,школьный стадион,Красносельский,"ул. Летчика Пилютова, д. 11, корп. 2",ГБОУ ЦО № 167,3515
1044,баскетбольная площадка,Красносельский,"ул. Летчика Пилютова, д. 11, корп. 2",ГБОУ ЦО № 167,497
1045,спортивная площадка,Красносельский,"ул. Летчика Пилютова, д. 11, корп. 2",ГБОУ ЦО № 167,314
1046,школьный стадион,Красносельский,"ул. Рихарда Зорге, д. 13, корп. 2",ГБОУ СОШ № 200,3758
1047,школьный стадион,Красносельский,"ул. Добровольцев, д. 8, лит. А",ГБОУ СОШ № 208,2329
1048,школьный стадион,Красносельский,"пр. Ветеранов, д. 140, корп. 2",ГБОУ СОШ № 217,2730
1049,школьный стадион,Красносельский,"ул. Авангардная, д. 43, лит. А",ГБОУ СОШ № 237,4986
1050,школьный стадион,Красносельский,"ул. Летчика Пилютова, д. 50, лит. А",ГБОУ СОШ № 242,2925
1051,школьный стадион,Красносельский,"Петергофское шоссе, д. 5, корп. 4, лит. А",ГБОУ СОШ № 247,2823
1052,школьный стадион,Красносельский,"ул. Тамбасова, д. 2, корп. 4, лит. А",ГБОУ СОШ № 252,2847
1053,школьный стадион,Красносельский,"Красное Село, ул. Лермонтова, д. 23, лит. А",ГБОУ СОШ № 262,2544
1054,спортивная площадка,Красносельский,"ул. Освобождения, д. 29, корп 3, лит. А",ГБОУ СОШ № 270,364
1055,хоккейная площадка,Красносельский,"ул. Освобождения, д. 29, корп 3, лит. А",ГБОУ СОШ № 270,1386
1056,школьный стадион,Красносельский,"пр. Кузнецова, д. 25, корп. 3",ГБОУ гимназия № 271,2915
1057,спортивная площадка,Красносельский,"пр. Кузнецова, д. 25, корп. 3",ГБОУ гимназия № 271,800
1058,спортивная площадка,Красносельский,"пр. Кузнецова, д. 25, корп. 4",ГБОУ гимназия № 271,162
1059,спортивная площадка,Красносельский,"пр. Кузнецова, д. 25, корп. 4",ГБОУ гимназия № 271,312
1060,школьный стадион,Красносельский,"Красное Село, ул. Красногородская, д. 7, корп. 3, лит. А",ГБОУ СОШ № 276,3750
1061,спортивная площадка,Красносельский,"Красное Село, ул. Красногородская, д. 7, корп. 3, лит. А",ГБОУ СОШ № 276,1087
1062,школьный стадион,Красносельский,"ул. Пограничника Гарькавого, д. 46, корп. 4, лит. А",ГБОУ СОШ № 285,3142
1063,школьный стадион,Красносельский,"ул. Пионерстроя, д. 10, к. 2, лит. А",ГБОУ СОШ № 290,2925
1064,школьный стадион,Красносельский,"ул. Маршала Захарова, д. 16, корп. 4, лит. А",ГБОУ СОШ № 291,1800
1065,спортивная площадка,Красносельский,"ул. Маршала Захарова, д. 16, корп. 3, лит. А",ГБОУ СОШ № 291,120
1066,баскетбольная площадка,Красносельский,"ул. Маршала Захарова, д. 16, корп. 4, лит. А",ГБОУ СОШ № 291,150
1067,волейбольная площадка,Красносельский,"ул. Маршала Захарова, д. 16, корп. 4, лит. А",ГБОУ СОШ № 291,150
1068,школьный стадион,Красносельский,"Ленинский пр, д. 94, корп.2, лит. А",ГБОУ гимназия № 293,2925
1069,школьный стадион,Красносельский,"пр. Ветеранов, д. 151, корп. 3",ГБОУ СОШ № 352,2925
1070,хоккейная площадка,Красносельский,"ул. Маршала Захарова, д. 52, лит. А",ГБОУ лицей № 369,1200
1071,школьный стадион,Красносельский,"ул. Маршала Захарова, д. 58, лит. А",ГБОУ лицей № 369,2925
1072,школьный стадион,Красносельский,"пр. Кузнецова, д. 19, лит. А",ГБОУ СОШ № 375,2730
1073,школьный стадион,Красносельский,"Красное Село, ул. Спирина, д. 2, корп. 3",ГБОУ СОШ № 380,2925
1074,волейбольная площадка,Красносельский,"Красное Село, Кингисеппское шоссе, д. 10, корп. 4, лит. А",ГБОУ СОШ № 382,358
1075,баскетбольная площадка,Красносельский,"Красное Село, Кингисеппское шоссе, д. 10, корп. 4, лит. А",ГБОУ СОШ № 382,384
1076,школьный стадион,Красносельский,"Красное Село, Кингисеппское шоссе, д. 10, корп. 4, лит. А",ГБОУ СОШ № 382,2686
1077,школьный стадион,Красносельский,"ул. Авангардная,  д. 21, лит. А",ГБОУ СОШ № 383,2166
1078,спортивная площадка,Красносельский,"ул. Пионерстроя, д. 9,  корп. 1",ГБОУ СОШ № 385,2925
1079,школьный стадион,Красносельский,"ул. Здоровцева, д. 33, корп. 2, лит. А",ГБОУ СОШ № 390,7020
1080,школьный стадион,Красносельский,"Горелово, Красносельское шоссе, д. 34, лит. А",ГБОУ СОШ № 391,2224
1081,школьный стадион,Красносельский,"Брестский бульвар, д. 19, корп. 2, лит. А",ГБОУ СОШ № 394,2925
1082,школьный стадион,Красносельский,"пр. Ветеранов, д. 135, лит. А",ГБОУ лицей № 395,2925
1083,школьный стадион,Красносельский,"ул. Политрука Пасечника, д. 3, лит. А",ГБОУ СОШ № 398,2925
1084,школьный стадион,Красносельский,"ул. Добровольцев, д. 60, корп. 2, лит. А",ГБОУ СОШ № 399,2925
1085,спортивная площадка,Красносельский,"п. Володарский, Российский бульвар, 
д. 4, корп. 2, лит. А",ГБОУ СОШ № 414,1458
1086,школьный стадион,Красносельский,"п. Володарский, Российский бульвар, 
д. 4, корп. 2, лит. А",ГБОУ СОШ № 414,920
1087,спортивная площадка,Красносельский,"ул. Тамбасова, д. 26, корп. 1, лит. А",ГБОУ СОШ № 505,2925
1088,школьный стадион,Красносельский,"ул. Кап. Грищенко, д.3.корп 1 ",ГБОУ СОШ № 509,2175
1089,спортивная площадка,Красносельский,"ул. Кап. Грищенко, д.3.корп 1 ",ГБОУ СОШ № 509,323
1090,спортивная площадка,Красносельский,"ул. Кап. Грищенко, д.3.корп 1 ",ГБОУ СОШ № 509,317
1091,спортивная площадка,Красносельский,"ул. Кап. Грищенко, д.3.корп 1 ",ГБОУ СОШ № 509,317
1092,спортивная площадка,Красносельский,"ул. Кап. Грищенко, д.3.корп 1 ",ГБОУ СОШ № 509,1370
1093,спортивная площадка,Красносельский,"Ленинский пр., д. 80, корп. 2, лит. А",ГБОУ СОШ № 546,1217
1094,спортивная площадка,Красносельский,"ул. Адмирала Коновалова, дом 6, корпус 2",ГБОУ СОШ № 547,435
1095,спортивная площадка,Красносельский,"ул. Адмирала Коновалова, дом 6, корпус 2",ГБОУ СОШ № 547,240
1096,спортивная площадка,Красносельский,"ул. Адмирала Коновалова, дом 6, корпус 2",ГБОУ СОШ № 547,655
1097,школьный стадион,Красносельский,"ул. Адмирала Коновалова, дом 6, корпус 2",ГБОУ СОШ № 547,3250
1098,школьный стадион,Красносельский,"ул. Маршала Казакова, д. 30 ",ГБОУ СОШ № 548,2925
1099,школьный стадион,Красносельский,"ул. Маршала Захарова, д. 28, лит. А",ГБОУ СОШ № 549,2925
1100,школьный стадион,Красносельский,"пр. Маршала Жукова, д. 33, корп. 2, лит. А",ГБОУ СОШ № 568,2925
1101,спортивная площадка,Красносельский,"пр. Маршала Жукова, д. 37, корп. 4, лит. А","ГБОУ прогимназия № 675 ""Талант"" (детский сад)",1000
1102,школьный стадион,Красносельский,"ул. Котина, д. 6, корп. 3",ГБОУ СОШ № 590,2925
1103,спортивная площадка,Красносельский,"г. Красное Село, ул. Спирина д.13","ГБ ПОУ ""Колледж Красносельский""",863
1104,спортивная площадка,Красносельский,"ул. Авангардная, д. 16","ГБ ПОУ ""Экономический колледж""",3160
1105,спортивная площадка,Красносельский,"ул. Пионерстроя, д. 25","ГБПОУ ""Академия индустрии красоты ""Локон""",1440
1106,спортивная площадка,Красносельский,пр. Народного Ополчения д.223,"ГБПОУ ""Колледж электроники и приборостроения""",1935
1107,спортивная площадка,Красносельский,пр. Народного Ополчения д.223,"ГБПОУ ""Колледж электроники и приборостроения""",2906
1108,хоккейная площадка,Красносельский,"ул. Пограничника Гарькавого, д. 36, корп. 6",ГБОУ ДОД ДДТ,529
1109,спортивная площадка,Красносельский,"ул. Пограничника Гарькавого, д. 36, корп. 6",ГБОУ ДОД ДДТ,360
1110,спортивная площадка,Красносельский,"ул. Пограничника Гарькавого, д. 36, корп. 6",ГБОУ ДОД ДДТ,2499
1111,футбольное поле,Красносельский,"г. Красное Село,  ул. Первого Мая (напротив д. 19, лит. А)","ГБУ ""ПМЦ ""Лигово""",9040
1112,футбольное поле,Красносельский,"Петерофское ш.,д.80",Санкт-Петербург,0.0
1113,футбольное поле ,Красносельский,Политрука Пасечника д.1,МО РФ,5400
1114,футбольное поле ,Красносельский,п.Хвойный ,МО РФ,5400
1115,футбольное поле,Красносельский,"ул. Летчика Пилютова, д. 1",УМВД России,5400
1116,спортивная площадка,Красносельский,"Петергофское шоссе, д.5/3","ЧОУ ""Школа экономики и права"" детский сад",800
1117,баскетбольная площадка,Красносельский,"Петергофское шоссе, д.5/3","ЧОУ ""Школа экономики и права"" детский сад",375
1118,хоккейная площадка,Красносельский,"ул. Пограничника Гарькавого,  д. 47,к. 4, лит. А","ООО ""Реновация""",1800
1119,спортивная площадка,Красносельский,"ул.Добровольцев, д.54","ООО Теннисный клуб "" Ракета""",3888
1120,внутридворовая площадка,Красносельский,пр.Ветеранов д.130,ТСЖ,600
1121,внутридворовая площадка,Красносельский,"Ленинский пр., д. 93, к. 2",ТСЖ,450
1122,Спортивная площадка,Кронштадтский,"г. Кронштадт, Цитадельское шоссе, дом 31, лит. А",ГБОУ ДОД ДЮСШ Кронштадтского района СПб,5474
1123,Баскетбольная площадка,Кронштадтский,"г. Кронштадт, Цитадельское шоссе, дом 31, лит. А",ГБОУ ДОД ДЮСШ Кронштадтского района СПб,728
1124,Футбольное поле,Кронштадтский,"г. Кронштадт, Цитадельское шоссе, дом 31, лит. А",ГБОУ ДОД ДЮСШ Кронштадтского района СПб,1034
1125,Площадка для занятий экстремальными видами спорта,Кронштадтский,"г. Кронштадт, Цитадельское шоссе, дом 31, лит. А",ГБОУ ДОД ДЮСШ Кронштадтского района СПб,800
1126,Теннисный корт,Кронштадтский,"г. Кронштадт, Тулонская аллея, дом 11","ГБУ ""Кронштадтский оздоровительно-спортивный центр""",560
1127,Теннисный корт,Кронштадтский,"г. Кронштадт, Тулонская аллея, дом 11","ГБУ ""Кронштадтский оздоровительно-спортивный центр""",560
1128,Волейбольная площадка,Кронштадтский,"г. Кронштадт, Тулонская аллея, дом 11","ГБУ ""Кронштадтский оздоровительно-спортивный центр""",351
1129,Волейбольная площадка,Кронштадтский,"г. Кронштадт, Тулонская аллея, дом 11","ГБУ ""Кронштадтский оздоровительно-спортивный центр""",351
1130,Баскетбольная площадка,Кронштадтский,"г. Кронштадт, Тулонская аллея, дом 11","ГБУ ""Кронштадтский оздоровительно-спортивный центр""",420
1131,Футбольное поле,Кронштадтский,"г. Кронштадт, Тулонская аллея, дом 11","ГБУ ""Кронштадтский оздоровительно-спортивный центр""",5336
1132,Городошный корт,Кронштадтский,"г. Кронштадт, Тулонская аллея, дом 11","ГБУ ""Кронштадтский оздоровительно-спортивный центр""",200
1133,Городошный корт,Кронштадтский,"г. Кронштадт, Тулонская аллея, дом 11","ГБУ ""Кронштадтский оздоровительно-спортивный центр""",200
1134,Уличные тренажеры,Кронштадтский,"г. Кронштадт, Тулонская аллея, дом 11","ГБУ ""Кронштадтский оздоровительно-спортивный центр""",225
1135,Уличные тренажеры,Кронштадтский,"г. Кронштадт, Тулонская аллея, дом 11","ГБУ ""Кронштадтский оздоровительно-спортивный центр""",100
1136,Силовой городок,Кронштадтский,"г. Кронштадт, Тулонская аллея, дом 11","ГБУ ""Кронштадтский оздоровительно-спортивный центр""",100
