№,Наименование спортивного сооружения,Район Санкт-Петербурга,Адрес объекта,Наименование эксплуатирующей организации,Площадь (кв.м)
3544,Спортивный зал,Невский,"Пр. Большевиков, д.52, к1",Санкт- Петербургский Пожарно- спасательный колледж,288
3545,Спортивный зал,Невский,"ул. Ивановская, д.16",СПб ГБПОУ ПК № 8,163
3546,Спортивный зал,Невский,"Ул. Бабушкина, 119",СПб ГБОУ СПО «НМТ»,284
3547,Спортивный зал,Невский,Дальневосточный пр. д. 26,Морской технический колледж,225
3548,Спортивный зал,Невский,"Железнодорожный пр., 32",ЦФКСиЗ Невского района,648
3549,Спортивный зал,Невский,"пр. Большевиков, д.38, к.1",СПб ГБПОУ «Охтинский колледж»,644
3550,Спортивный зал,Невский,"пр. Большевиков, д.38, к.1",СПб ГБПОУ «Охтинский колледж»,194
3551,Спортивный зал,Невский,Большой Смоленский пр. д.36,Морской колледж ФГУОУ ВПО «ГМА им. адмирала С.О.Макарова»,200
3552,Спортивный зал,Невский,"пр. Обуховской обороны, д.130, лит. А",ЗАО «Обуховский СК»,969
3553,Спортивный зал,Невский,"пр. Обуховской обороны, д.130, лит. Д",ЗАО «Обуховский СК»,166
3554,Спортивный зал,Невский,"пр. Обуховской Обороны, дом 130, лит. Ф","ЗАО ""Непрофильные активы ГОЗ""",425
3555,Спортивный зал,Невский,Ул.Леснозаводская д.3,ЗАО СОК «Звезда»,1008
3556,Спортивный зал,Невский,"Леснозаводская ул., 3а",ЗАО СОК «Звезда»,162
3557,Спортивный зал,Невский,"Леснозаводская ул., 3а",ЗАО СОК «Звезда»,162
3558,Спортивный зал,Невский,Ул.Бабушкина д. 92,СЦ «Звезда»,288
3559,Спортивный зал,Невский,Ул.Бабушкина д. 92,СЦ «Звезда»,288
3560,Спортивный зал,Невский,Ул.Бабушкина д. 92,СЦ «Звезда»,648
3561,Спортивный зал,Невский,"пр.Обуховской Обороны, 49 – 51",ОАО «Невский завод»,1008
3562,Спортивный зал,Невский,"пр. Большевиков, д.18",ООО «Нева спорт»,450
